cell,type,source_column
C1,Rush,Rush22
C2,Hospital,Hospital2
C3,Rush,Rush12
C4,Transport,Transport4
C5,Rush,Rush26
C6,Rush,Rush14
C7,Rush,Rush11
C9,Rush,Rush9
C10,Rush,Rush7
C11,House,House16
C12,Shop,Shop12
C14,Rush,Rush27
C15,Shop,Shop11
C16,Rush,Rush15
C17,House,House4
C18,Rush,Rush4
C20,House,House2
C21,House,House17
C22,House,House3
C23,House,House11
C24,House,House10
C25,House,House13
C26,Transport,Transport5
C27,Shop,Shop1
C28,House,House9
C29,Rush,Rush5
C30,House,House14
C31,Rush,Rush1
C32,Rush,Rush16
C34,Shop,Shop6
C35,House,House1
C37,Transport,Transport3
C38,Hospital,Hospital3
C39,Rush,Rush3
C40,Rush,Rush8
C41,Rush,Rush18
C42,Rush,Rush6
C43,Shop,Shop10
C45,House,House18
M1,Rush,Rush2
M2,Rush,Rush23
M3,Transport,Transport6
M4,House,House7
M5,House,House19
M6,Shop,Shop4
M7,Rush,Rush19
