CellID,Latitude,Longitude,Macro
C1,51.5266,-0.1338,M3
C2,51.5248,-0.1359,M1
C3,51.525,-0.1275,M6
C4,51.526,-0.1345,M3
C5,51.5255,-0.1327,M4
C6,51.5228,-0.1322,M2
C7,51.525,-0.1312,M4
M5,51.5263,-0.1285,M5
C9,51.526,-0.1276,M5
C10,51.5262,-0.1337,M3
C11,51.5225,-0.1328,M2
C12,51.5253,-0.128,M6
M1,51.5245,-0.1345,M1
C14,51.5251,-0.1317,M4
C15,51.5251,-0.1287,M6
C16,51.5242,-0.1289,M6
C17,51.5227,-0.127,M7
C18,51.5247,-0.135,M1
M4,51.5255,-0.132,M4
C20,51.5237,-0.1278,M7
C21,51.5266,-0.1294,M5
C22,51.5246,-0.1275,M6
C23,51.5244,-0.1271,M7
C24,51.5262,-0.1304,M5
C25,51.523,-0.1268,M7
C26,51.5265,-0.1333,M3
C27,51.5247,-0.1284,M6
C28,51.5257,-0.1262,M6
C29,51.5261,-0.1324,M4
C30,51.5263,-0.1264,M5
C31,51.525,-0.1316,M4
C32,51.526,-0.1292,M5
M6,51.5249,-0.1283,M6
C34,51.5241,-0.1269,M7
C35,51.5232,-0.1262,M7
M3,51.5263,-0.1336,M3
C37,51.5266,-0.1328,M3
C38,51.5249,-0.1355,M1
C39,51.5239,-0.1341,M1
C40,51.5228,-0.1329,M2
C41,51.5233,-0.1307,M2
C42,51.524,-0.1343,M1
C43,51.5235,-0.1312,M2
M7,51.5237,-0.1268,M7
C45,51.5246,-0.1277,M6
M2,51.523,-0.1318,M2
