radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,234,20,1003,3304449,0,-0.1338,51.5266,3506,28,1,1532754230,1749346562,0
LTE,234,15,6187,2176530,0,-0.1359,51.5248,2328,22,1,1541714826,1776803341,0
LTE,234,15,6188,291362,0,-0.1275,51.525,1000,17,1,1548668583,1748134262,0
LTE,234,10,14353,136015224,0,-0.1345,51.526,1457,15,1,1598310754,1733958363,0
LTE,234,10,14353,129595522,0,-0.1327,51.5255,2050,14,1,1598318393,1738711265,0
LTE,234,10,14353,136846962,0,-0.1322,51.5228,1000,10,1,1598629953,1765383781,0
LTE,234,10,14353,135691637,0,-0.1312,51.525,1000,12,1,1602165433,1765383361,0
LTE,234,10,14353,137283710,0,-0.1285,51.5263,688,25,1,1602169107,1733958365,0
LTE,234,10,14353,137283711,0,-0.1276,51.526,1000,24,1,1611246039,1740627303,0
LTE,234,10,14353,135372402,0,-0.1337,51.5262,1000,18,1,1622333661,1762274163,0
LTE,234,10,14353,135691399,-1,-0.1328,51.5225,1000,7,1,1634822935,1765383361,0
LTE,234,15,6188,3662886,-1,-0.128,51.5253,1170,28,1,1636832885,1776803341,0
LTE,234,10,14353,136015219,-1,-0.1345,51.5245,1000,9,1,1637323238,1765381741,0
LTE,234,10,14353,134774898,-1,-0.1317,51.5251,500,26,1,1637323411,1765382761,0
LTE,234,10,14353,136725874,0,-0.1287,51.5251,2564,16,1,1675934711,1763090281,0
LTE,234,10,14353,134157192,-1,-0.1289,51.5242,1000,23,1,1692665421,1765384741,0
LTE,234,10,14353,134156935,-1,-0.127,51.5227,1000,7,1,1692844098,1765384681,0
LTE,234,10,14353,139388018,-1,-0.135,51.5247,1405,22,1,1694069978,1763090281,0
LTE,234,15,6187,4178450,-1,-0.132,51.5255,1212,11,1,1691834900,1776803341,0
LTE,234,20,1003,3449602,-1,-0.1278,51.5237,1000,17,1,1700381792,1761344287,0
LTE,234,30,24441,8042515,-1,-0.1294,51.5266,1000,8,1,1709314471,1770951967,0
LTE,234,20,1003,3449600,-1,-0.1275,51.5246,1253,19,1,1710017296,1749346562,0
LTE,234,20,1003,3449601,-1,-0.1271,51.5244,1287,20,1,1710017316,1749346562,0
LTE,234,10,6016,139511431,-1,-0.1304,51.5262,6408,15,1,1713231696,1750841821,0
LTE,234,15,6187,2393120,-1,-0.1268,51.523,3909,4,1,1719070069,1747434067,0
LTE,234,20,1032,21763083,-1,-0.1333,51.5265,1000,10,1,1720868622,1737932221,0
LTE,234,30,24441,2601984,-1,-0.1284,51.5247,1000,6,1,1720867789,1763470862,0
LTE,234,10,4113,135334269,-1,-0.1262,51.5257,2829,6,1,1721269511,1753914602,0
LTE,234,10,4113,135334259,-1,-0.1324,51.5261,2419,5,1,1721269491,1753914602,0
LTE,234,20,1006,20537221,-1,-0.1264,51.5263,1213,3,1,1727799158,1742669402,0
LTE,234,20,1010,20536851,-1,-0.1316,51.525,5313,16,1,1727833687,1750278242,0
LTE,234,20,1032,21763084,-1,-0.1292,51.526,1000,18,1,1739047993,1748134262,0
LTE,234,30,24441,2601987,-1,-0.1283,51.5249,1000,2,1,1743840980,1763470862,0
LTE,234,30,24441,2601988,-1,-0.1269,51.5241,1000,4,1,1743841116,1743862626,0
LTE,234,30,24421,9570307,-1,-0.1262,51.5232,1000,2,1,1743841123,1743862626,0
LTE,234,10,14353,153801080,-1,-0.1336,51.5263,1000,4,1,1745429375,1747663325,0
LTE,234,10,14353,153801095,-1,-0.1328,51.5266,1000,1,1,1745429395,1745429395,0
LTE,234,30,24440,6202127,-1,-0.1355,51.5249,1000,3,1,1763373331,1763470862,0
LTE,234,30,24440,6361359,-1,-0.1341,51.5239,1000,5,1,1763373417,1763470862,0
LTE,234,30,24441,2607625,-1,-0.1329,51.5228,1000,3,1,1763373553,1763470862,0
LTE,234,30,24441,2607622,-1,-0.1307,51.5233,1000,9,1,1763373622,1763470863,0
LTE,234,10,14353,130286200,0,-0.1343,51.524,1000,1,1,1765382176,1765382176,0
LTE,234,10,14353,135691379,0,-0.1312,51.5235,1000,1,1,1765384290,1765384290,0
LTE,234,30,24441,2602003,-1,-0.1268,51.5237,1000,2,1,1770796259,1770951967,0
LTE,234,30,24441,2602002,-1,-0.1277,51.5246,1000,2,1,1770796320,1770951967,0
LTE,234,15,6188,2059042,-1,-0.1318,51.523,1000,3,1,1776769049,1776795362,0
